ID,oldID,fecha,intensidad,ocupacion,vmed,periodo_integracion,KM,densidad,Hora
6661,PM10471,2015-08-04 07:15,2088.0,4.0,92.0,15,4.7,22.695652173913043,7.15
6672,PM10941,2015-08-04 07:15,2343.0,5.0,88.0,15,9.4,26625,7.15
6703,PM12981,2015-08-04 07:15,1516.0,17.0,47.0,15,29.8,32.255319148936174,7.15
6641,PM10021,2015-08-04 07:15,0.0,0.0,0.0,15,0.2,,7.15
6646,PM10211,2015-08-04 07:15,1999.0,4.0,96.0,15,2.1,20.822916666666668,7.15
6648,PM10241,2015-08-04 07:15,1973.0,3.0,97.0,15,2.4,20.34020618556701,7.15
6654,PM10401,2015-08-04 07:15,2400.0,4.0,92.0,15,4.0,26.08695652173913,7.15
6656,PM10441,2015-08-04 07:15,2116.0,4.0,94.0,15,4.4,22.51063829787234,7.15
3818,PM10501,2015-08-04 07:15,2108.0,5.0,91.0,15,5.0,23.164835164835164,7.15
3820,PM10561,2015-08-04 07:15,3016.0,8.0,89.0,15,5.6,33.8876404494382,7.15
6676,PM10981,2015-08-04 07:15,3528.0,7.0,86.0,15,9.8,41.02325581395349,7.15
6679,PM11071,2015-08-04 07:15,3816.0,6.0,91.0,15,10.7,41.934065934065934,7.15
